time,input_value,encoder
50,0,0
50.2,1,0
50.4,2,0
50.6,3,0
50.8,4,0
51,5,0
51.2,6,0
51.4,7,0
51.6,8,0
51.8,9,0
52,10,0
52.2,11,0
52.4,12,0
52.6,13,0
52.8,14,0
53,15,0
53.2,16,0
53.4,17,0
53.6,18,0
53.8,19,0
54,20,0
54.2,21,0
54.4,22,0
54.6,23,0
54.8,24,0
55,25,0
55.2,26,0
55.4,27,0
55.6,28,0
55.8,29,0
56,30,0
56.2,31,0
56.4,32,0
56.6,33,0
56.8,34,0
57,35,0
57.2,36,0
57.4,37,0
57.6,38,0
57.8,39,0
58,40,0
58.2,41,0
58.4,42,0
58.6,43,0
58.8,44,0
59,45,0
59.2,46,0
59.4,47,0
59.6,48,-17
59.8,49,-88
60,50,-196
60.2,51,-334
60.4,52,-494
60.6,53,-669
60.8,54,-857
61,55,-1055
61.2,56,-1263
61.4,57,-1477
61.6,58,-1700
61.8,59,-1929
62,60,-2163
62.2,61,-2402
62.4,62,-2649
62.6,63,-2903
62.8,64,-3161
63,65,-3424
63.2,66,-3690
63.4,67,-3960
63.6,68,-4233
63.8,69,-4513
64,70,-4795
64.2,71,-5081
64.4,72,-5371
64.6,73,-5666
64.8,74,-5964
65,75,-6266
65.2,76,-6574
65.4,77,-6885
65.6,78,-7201
65.8,79,-7520
66,80,-7840
66.2,81,-8164
66.4,82,-8490
66.6,83,-8820
66.8,84,-9152
67,85,-9490
67.2,86,-9830
67.4,87,-10172
67.6,88,-10517
67.8,89,-10863
68,90,-11211
68.2,91,-11563
68.4,92,-11918
68.6,93,-12274
68.8,94,-12633
69,95,-12993
69.2,96,-13358
69.4,97,-13727
69.6,98,-14095
69.8,99,-14464
70,100,-14838
70.2,101,-15215
70.4,102,-15590
70.6,103,-15966
70.8,104,-16346
71,105,-16727
71.2,106,-17110
71.4,107,-17494
71.6,108,-17881
71.8,109,-18269
72,110.01,-18657
72.2,111.01,-19048
72.4,112.01,-19441
72.6,113.01,-19834
72.8,114.01,-20229
73,115.01,-20624
73.2,116.01,-21023
73.4,117.01,-21423
73.6,118.01,-21826
73.8,119.01,-22230
74,120.01,-22632
74.2,121.01,-23042
74.4,122.01,-23451
74.6,123.01,-23858
74.8,124.01,-24268
75,125.01,-24679
75.2,126.01,-25090
75.4,127.01,-25507
75.6,128.01,-25923
75.8,129.01,-26340
76,130.01,-26756
76.2,131.01,-27174
76.4,132.01,-27593
76.6,133.01,-28013
76.8,134.01,-28433
77,135.01,-28856
77.2,136,-29281
77.4,137,-29704
77.6,138,-30131
77.8,139,-30558
78,140,-30984
78.2,141,-31412
78.4,142,-31841
78.6,143,-32268
78.8,144,-32699
79,145,-33129
79.2,146,-33564
79.4,147,-33998
79.6,148,-34432
79.8,149,-34866
80,150,-35302
80.2,151,-35739
80.4,152,-36178
80.6,153,-36616
80.8,153.99,-37055
81,154.99,-37494
81.2,155.99,-37935
81.4,156.99,-38377
81.6,157.99,-38820
81.8,158.99,-39263
82,159.99,-39705
82.2,160.99,-40150
82.4,161.99,-40596
82.6,162.99,-41044
82.8,163.99,-41491
83,164.99,-41937
83.2,165.99,-42384
83.4,166.99,-42832
83.6,167.99,-43281
83.8,168.99,-43730
84,169.99,-44182
84.2,170.99,-44636
84.4,171.98,-45088
84.6,172.98,-45541
84.8,173.98,-45995
85,174.98,-46449
85.2,175.98,-46904
85.4,176.98,-47359
85.6,177.98,-47814
85.8,178.98,-48267
86,179.98,-48721
86.2,180.98,-49176
86.4,181.98,-49633
86.6,182.98,-50090
86.8,183.98,-50547
87,184.98,-51004
87.2,185.98,-51462
87.4,186.98,-51923
87.6,187.98,-52384
87.8,188.98,-52845
88,189.97,-53306
88.2,190.97,-53767
88.4,191.97,-54232
88.6,192.97,-54696
88.8,193.97,-55162
89,194.97,-55624
89.2,195.97,-56086
89.4,196.97,-56551
89.6,197.97,-57015
89.8,198.97,-57481
90,199.97,-57944
90.2,200.97,-58410
90.4,201.97,-58874
90.6,202.97,-59340
90.8,203.97,-59809
91,204.97,-60277
91.2,205.97,-60743
91.4,206.97,-61210
91.6,207.96,-61678
91.8,208.96,-62148
92,209.96,-62616
92.2,210.96,-63082
92.4,211.96,-63551
92.6,212.96,-64021
92.8,213.96,-64488
93,214.96,-64955
93.2,215.96,-65426
93.4,216.96,-65898
93.6,217.96,-66368
93.8,218.96,-66837
94,219.96,-67308
94.2,220.96,-67780
94.4,221.96,-68254
94.6,222.96,-68728
94.8,223.96,-69200
95,224.96,-69674
95.2,225.96,-70146
95.4,226.95,-70622
95.6,227.95,-71096
95.8,228.95,-71570
96,229.95,-72044
96.2,230.95,-72518
96.4,231.95,-72994
96.6,232.95,-73468
96.8,233.95,-73943
97,234.95,-74417
97.2,235.95,-74892
97.4,236.95,-75370
97.6,237.95,-75846
97.8,238.95,-76322
98,239.95,-76799
98.2,240.95,-77275
98.4,241.95,-77755
98.6,242.95,-78233
98.8,243.95,-78712
99,244.94,-79193
99.2,245.94,-79672
99.4,246.94,-80152
99.6,247.94,-80633
99.8,248.94,-81112
100,249.94,-81590
100.2,250.94,-82071
100.4,251.94,-82552
100.6,252.94,-83036
100.8,253.94,-83523
101,254.94,-84013
101.2,0.93,-84463
101.4,1.93,-84823
101.6,2.93,-85103
101.8,3.93,-85311
102,4.93,-85454
102.2,5.93,-85541
102.4,6.93,-85579
102.6,7.93,-85581
102.8,8.93,-85581
103,9.93,-85581
103.2,10.93,-85581
103.4,11.93,-85581
103.6,12.93,-85581
103.8,13.93,-85581
104,14.93,-85581
104.2,15.93,-85581
104.4,16.93,-85581
104.6,17.93,-85581
104.8,18.93,-85581
105,19.93,-85581
105.2,20.93,-85581
105.4,21.93,-85581
105.6,22.93,-85581
105.8,23.93,-85581
106,24.93,-85581
106.2,25.93,-85581
106.4,26.93,-85581
106.6,27.93,-85581
106.8,28.93,-85581
107,29.93,-85581
107.2,30.93,-85581
107.4,31.93,-85581
107.6,32.93,-85581
107.8,33.93,-85581
108,34.93,-85581
108.2,35.93,-85581
108.4,36.93,-85581
108.6,37.93,-85581
108.8,38.93,-85581
109,39.93,-85581
109.2,40.93,-85581
109.4,41.93,-85582
109.6,42.93,-85582
109.8,43.93,-85582
110,44.93,-85582
110.2,45.93,-85582
110.4,46.93,-85582
110.6,47.93,-85582
110.8,48.93,-85585
111,49.93,-85639
111.2,50.93,-85741
111.4,51.93,-85876
111.6,52.93,-86035
111.8,53.93,-86213
