time,input_value,encoder
50,0,0
50.2,1,0
50.4,2,0
50.6,3,0
50.8,4,0
51,5,0
51.2,6,0
51.4,7,0
51.6,8,0
51.8,9,0
52,10,0
52.2,11,0
52.4,12,0
52.6,13,0
52.8,14,0
53,15,0
53.2,16,0
53.4,17,0
53.6,18,0
53.8,19,0
54,20,0
54.2,21,0
54.4,22,0
54.6,23,0
54.8,24,0
55,25,0
55.2,26,0
55.4,27,0
55.6,28,0
55.8,29,0
56,30,0
56.2,31,0
56.4,32,0
56.6,33,0
56.8,34,0
57,35,0
57.2,36,0
57.4,37,0
57.6,38,0
57.8,39,0
58,40,0
58.2,41,0
58.4,42,0
58.6,43,0
58.8,44,0
59,45,0
59.2,46,0
59.4,47,2
59.6,48,49
59.8,49,139
60,50,259
60.2,51,402
60.4,52,564
60.6,53,741
60.8,54,928
61,55,1125
61.2,56,1331
61.4,57,1545
61.6,58,1768
61.8,59,1996
62,60,2231
62.2,61,2472
62.4,62,2719
62.6,63,2972
62.8,64,3230
63,65,3493
63.2,66,3758
63.4,67,4028
63.6,68,4302
63.8,69,4578
64,70,4859
64.2,71,5142
64.4,72,5430
64.6,73,5721
64.8,74,6018
65,75,6319
65.2,76,6625
65.4,77,6932
65.6,78,7243
65.8,79,7559
66,80,7878
66.2,81,8200
66.4,82,8526
66.6,83,8855
66.8,84,9186
67,85,9519
67.2,86,9853
67.4,87,10192
67.6,88,10533
67.8,89,10877
68,90,11221
68.2,91,11569
68.4,92,11921
68.6,93,12276
68.8,94,12633
69,95,12992
69.2,96,13352
69.4,97,13715
69.6,98,14080
69.8,99,14450
70,100,14820
70.2,101,15190
70.4,102,15564
70.6,103,15940
70.8,104,16318
71,105,16698
71.2,106,17080
71.4,107,17464
71.6,108,17848
71.8,109,18234
72,110.01,18624
72.2,111.01,19015
72.4,112.01,19406
72.6,113.01,19799
72.8,114.01,20194
73,115.01,20592
73.2,116.01,20990
73.4,117.01,21391
73.6,118.01,21794
73.8,119.01,22196
74,120.01,22601
74.2,121.01,23009
74.4,122.01,23418
74.6,123.01,23828
74.8,124.01,24238
75,125.01,24652
75.2,126.01,25065
75.4,127.01,25482
75.6,128.01,25897
75.8,129.01,26315
76,130.01,26732
76.2,131.01,27150
76.4,132.01,27572
76.6,133.01,27993
76.8,134.01,28415
77,135.01,28840
77.2,136,29263
77.4,137,29689
77.6,138,30115
77.8,139,30544
78,140,30972
78.2,141,31402
78.4,142,31833
78.6,143,32266
78.8,144,32698
79,145,33130
79.2,146,33564
79.4,147,33998
79.6,148,34433
79.8,149,34869
80,150,35305
80.2,151,35742
80.4,152,36181
80.6,153,36619
80.8,153.99,37059
81,154.99,37498
81.2,155.99,37941
81.4,156.99,38383
81.6,157.99,38824
81.8,158.99,39270
82,159.99,39716
82.2,160.99,40161
82.4,161.99,40608
82.6,162.99,41056
82.8,163.99,41506
83,164.99,41955
83.2,165.99,42406
83.4,166.99,42856
83.6,167.99,43307
83.8,168.99,43757
84,169.99,44209
84.2,170.99,44662
84.4,171.98,45115
84.6,172.98,45568
84.8,173.98,46023
85,174.98,46477
85.2,175.98,46936
85.4,176.98,47390
85.6,177.98,47845
85.8,178.98,48302
86,179.98,48760
86.2,180.98,49216
86.4,181.98,49676
86.6,182.98,50135
86.8,183.98,50594
87,184.98,51054
87.2,185.98,51513
87.4,186.98,51974
87.6,187.98,52436
87.8,188.98,52897
88,189.97,53358
88.2,190.97,53824
88.4,191.97,54288
88.6,192.97,54752
88.8,193.97,55218
89,194.97,55683
89.2,195.97,56147
89.4,196.97,56615
89.6,197.97,57078
89.8,198.97,57544
90,199.97,58009
90.2,200.97,58479
90.4,201.97,58947
90.6,202.97,59413
90.8,203.97,59881
91,204.97,60350
91.2,205.97,60817
91.4,206.97,61286
91.6,207.96,61755
91.8,208.96,62225
92,209.96,62697
92.2,210.96,63168
92.4,211.96,63640
92.6,212.96,64111
92.8,213.96,64582
93,214.96,65057
93.2,215.96,65531
93.4,216.96,66003
93.6,217.96,66476
93.8,218.96,66952
94,219.96,67426
94.2,220.96,67902
94.4,221.96,68378
94.6,222.96,68853
94.8,223.96,69331
95,224.96,69805
95.2,225.96,70284
95.4,226.95,70759
95.6,227.95,71238
95.8,228.95,71714
96,229.95,72194
96.2,230.95,72672
96.4,231.95,73149
96.6,232.95,73629
96.8,233.95,74108
97,234.95,74586
97.2,235.95,75066
97.4,236.95,75545
97.6,237.95,76027
97.8,238.95,76508
98,239.95,76988
98.2,240.95,77468
98.4,241.95,77948
98.6,242.95,78429
98.8,243.95,78911
99,244.94,79392
99.2,245.94,79876
99.4,246.94,80359
99.6,247.94,80841
99.8,248.94,81324
100,249.94,81807
100.2,250.94,82290
100.4,251.94,82774
100.6,252.94,83259
100.8,253.94,83746
101,254.94,84236
101.2,0.93,84685
101.4,1.93,85045
101.6,2.93,85323
101.8,3.93,85528
102,4.93,85668
102.2,5.93,85750
102.4,6.93,85782
102.6,7.93,85782
102.8,8.93,85782
103,9.93,85782
103.2,10.93,85782
103.4,11.93,85782
103.6,12.93,85782
103.8,13.93,85782
104,14.93,85782
104.2,15.93,85782
104.4,16.93,85782
104.6,17.93,85782
104.8,18.93,85782
105,19.93,85782
105.2,20.93,85782
105.4,21.93,85782
105.6,22.93,85782
105.8,23.93,85782
106,24.93,85782
106.2,25.93,85782
106.4,26.93,85782
106.6,27.93,85782
106.8,28.93,85782
107,29.93,85782
107.2,30.93,85782
107.4,31.93,85782
107.6,32.93,85782
107.8,33.93,85782
108,34.93,85782
108.2,35.93,85782
108.4,36.93,85782
108.6,37.93,85782
108.8,38.93,85782
109,39.93,85782
109.2,40.93,85782
109.4,41.93,85782
109.6,42.93,85782
109.8,43.93,85782
110,44.93,85782
110.2,45.93,85782
110.4,46.93,85782
110.6,47.93,85783
110.8,48.93,85783
111,49.93,85783
111.2,50.93,85818
111.4,51.93,85908
111.6,52.93,86037
111.8,53.93,86193
112,54.93,86368
112.2,55.93,86557
112.4,56.93,86759
112.6,57.93,86970
112.8,58.93,87189
113,59.93,87416
113.2,60.93,87649
113.4,61.93,87889
113.6,62.93,88134
113.8,63.93,88385
114,64.93,88640
114.2,65.93,88903
114.4,66.93,89171
114.6,67.93,89444
114.8,68.93,89719
115,69.93,89999
115.2,70.93,90283
115.4,71.93,90570
115.6,72.93,90863
115.8,73.93,91158
116,74.93,91458
116.2,75.93,91760
116.4,76.93,92065
116.6,77.93,92374
