time	input_value	encoder
50	0	0
50.2	1	0
50.4	2	0
50.6	3	0
50.8	4	0
51	5	0
51.2	6	0
51.4	7	0
51.6	8	0
51.8	9	0
52	10	0
52.2	11	0
52.4	12	0
52.6	13	0
52.8	14	0
53	15	0
53.2	16	0
53.4	17	0
53.6	18	0
53.8	19	0
54	20	0
54.2	21	0
54.4	22	0
54.6	23	0
54.8	24	0
55	25	0
55.2	26	0
55.4	27	0
55.6	28	0
55.8	29	0
56	30	0
56.2	31	0
56.4	32	0
56.6	33	0
56.8	34	0
57	35	0
57.2	36	0
57.4	37	0
57.6	38	1
57.8	39	15
58	40	63
58.2	41	136
58.4	42	229
58.6	43	338
58.8	44	461
59	45	596
59.2	46	740
59.4	47	893
59.6	48	1054
59.8	49	1223
60	50	1399
60.2	51	1582
60.4	52	1772
60.6	53	1970
60.8	54	2172
61	55	2383
61.2	56	2598
61.4	57	2821
61.6	58	3048
61.8	59	3283
62	60	3523
62.2	61	3769
62.4	62	4021
62.6	63	4278
62.8	64	4542
63	65	4813
63.2	66	5087
63.4	67	5367
63.6	68	5650
63.8	69	5938
64	70	6230
64.2	71	6526
64.4	72	6826
64.6	73	7130
64.8	74	7438
65	75	7751
65.2	76	8066
65.4	77	8387
65.6	78	8713
65.8	79	9041
66	80	9371
66.2	81	9707
66.4	82	10045
66.6	83	10386
66.8	84	10728
67	85	11073
67.2	86	11421
67.4	87	11773
67.6	88	12128
67.8	89	12487
68	90	12841
68.2	91	13197
68.4	92	13559
68.6	93	13925
68.8	94	14294
69	95	14663
69.2	96	15034
69.4	97	15407
69.6	98	15785
69.8	99	16165
70	100	16546
70.2	101	16927
70.4	102	17313
70.6	103	17700
70.8	104	18089
71	105	18480
71.2	106	18871
71.4	107	19265
71.6	108	19664
71.8	109	20062
72	110.01	20464
72.2	111.01	20865
72.4	112.01	21267
72.6	113.01	21672
72.8	114.01	22080
73	115.01	22488
73.2	116.01	22899
73.4	117.01	23310
73.6	118.01	23724
73.8	119.01	24140
74	120.01	24557
74.2	121.01	24975
74.4	122.01	25394
74.6	123.01	25814
74.8	124.01	26237
75	125.01	26659
75.2	126.01	27085
75.4	127.01	27511
75.6	128.01	27940
75.8	129.01	28370
76	130.01	28801
76.2	131.01	29235
76.4	132.01	29670
76.6	133.01	30103
76.8	134.01	30542
77	135.01	30977
77.2	136	31416
77.4	137	31857
77.6	138	32299
77.8	139	32740
78	140	33184
78.2	141	33624
78.4	142	34063
78.6	143	34508
78.8	144	34950
79	145	35393
79.2	146	35838
79.4	147	36283
79.6	148	36728
79.8	149	37177
80	150	37626
80.2	151	38076
80.4	152	38525
80.6	153	38977
80.8	153.99	39430
81	154.99	39884
81.2	155.99	40338
81.4	156.99	40793
81.6	157.99	41250
81.8	158.99	41706
82	159.99	42164
82.2	160.99	42622
82.4	161.99	43081
82.6	162.99	43541
82.8	163.99	44001
83	164.99	44463
83.2	165.99	44927
83.4	166.99	45391
83.6	167.99	45855
83.8	168.99	46322
84	169.99	46788
84.2	170.99	47255
84.4	171.98	47722
84.6	172.98	48190
84.8	173.98	48659
85	174.98	49131
85.2	175.98	49601
85.4	176.98	50071
85.6	177.98	50543
85.8	178.98	51014
86	179.98	51488
86.2	180.98	51963
86.4	181.98	52436
86.6	182.98	52913
86.8	183.98	53391
87	184.98	53867
87.2	185.98	54344
87.4	186.98	54821
87.6	187.98	55301
87.8	188.98	55779
88	189.97	56256
88.2	190.97	56735
88.4	191.97	57215
88.6	192.97	57695
88.8	193.97	58175
89	194.97	58657
89.2	195.97	59137
89.4	196.97	59620
89.6	197.97	60106
89.8	198.97	60591
90	199.97	61078
90.2	200.97	61563
90.4	201.97	62054
90.6	202.97	62547
90.8	203.97	63043
91	204.97	63539
91.2	205.97	64036
91.4	206.97	64531
91.6	207.96	65029
91.8	208.96	65526
92	209.96	66024
92.2	210.96	66522
92.4	211.96	67021
92.6	212.96	67520
92.8	213.96	68022
93	214.96	68522
93.2	215.96	69021
93.4	216.96	69522
93.6	217.96	70024
93.8	218.96	70524
94	219.96	71027
94.2	220.96	71527
94.4	221.96	72033
94.6	222.96	72537
94.8	223.96	73040
95	224.96	73544
95.2	225.96	74048
95.4	226.95	74551
95.6	227.95	75058
95.8	228.95	75561
96	229.95	76068
96.2	230.95	76573
96.4	231.95	77078
96.6	232.95	77583
96.8	233.95	78091
97	234.95	78597
97.2	235.95	79103
97.4	236.95	79609
97.6	237.95	80115
97.8	238.95	80622
98	239.95	81130
98.2	240.95	81643
98.4	241.95	82152
98.6	242.95	82662
98.8	243.95	83170
99	244.94	83681
99.2	245.94	84189
99.4	246.94	84700
99.6	247.94	85210
99.8	248.94	85723
100	249.94	86233
100.2	250.94	86741
100.4	251.94	87254
100.6	252.94	87766
100.8	253.94	88284
101	254.94	88803
101.2	0.93	89286
101.4	1.93	89678
101.6	2.93	89990
101.8	3.93	90233
102	4.93	90410
102.2	5.93	90532
102.4	6.93	90605
102.6	7.93	90633
102.8	8.93	90633
103	9.93	90633
103.2	10.93	90633
103.4	11.93	90633
103.6	12.93	90633
103.8	13.93	90635
104	14.93	90635
104.2	15.93	90635
104.4	16.93	90635
104.6	17.93	90635
104.8	18.93	90635
105	19.93	90635
105.2	20.93	90635
105.4	21.93	90635
105.6	22.93	90635
105.8	23.93	90635
106	24.93	90635
106.2	25.93	90635
106.4	26.93	90635
106.6	27.93	90635
106.8	28.93	90635
107	29.93	90635
107.2	30.93	90635
107.4	31.93	90635
107.6	32.93	90635
107.8	33.93	90635
108	34.93	90635
108.2	35.93	90635
108.4	36.93	90635
108.6	37.93	90635
108.8	38.93	90635
109	39.93	90635
109.2	40.93	90649
109.4	41.93	90702
109.6	42.93	90785
109.8	43.93	90893
110	44.93	91019
110.2	45.93	91160
110.4	46.93	91314
110.6	47.93	91479
110.8	48.93	91654
111	49.93	91838
111.2	50.93	92030
111.4	51.93	92230
111.6	52.93	92436
111.8	53.93	92650
112	54.93	92870
112.2	55.93	93096
112.4	56.93	93328
112.6	57.93	93565
112.8	58.93	93808
113	59.93	94059
113.2	60.93	94313
113.4	61.93	94573
113.6	62.93	94839
113.8	63.93	95112
114	64.93	95390
114.2	65.93	95671
114.4	66.93	95957
114.6	67.93	96247
114.8	68.93	96542
115	69.93	96841
115.2	70.93	97144
115.4	71.93	97451
115.6	72.93	97764
115.8	73.93	98079
116	74.93	98398
116.2	75.93	98722
116.4	76.93	99048
116.6	77.93	99380
