input voltage,count_per_sec
-255,-2450
-254,-2435
-253,-2420
-252,-2405
-251,-2405
-250,-2390
-249,-2395
-248,-2405
-247,-2400
-246,-2395
-245,-2405
-244,-2395
-243,-2390
-242,-2400
-241,-2380
-240,-2385
-239,-2380
-238,-2380
-237,-2390
-236,-2375
-235,-2370
-234,-2375
-233,-2370
-232,-2380
-231,-2370
-230,-2370
-229,-2370
-228,-2370
-227,-2380
-226,-2360
-225,-2370
-224,-2360
-223,-2370
-222,-2370
-221,-2360
-220,-2355
-219,-2345
-218,-2350
-217,-2360
-216,-2355
-215,-2335
-214,-2335
-213,-2350
-212,-2345
-211,-2330
-210,-2340
-209,-2350
-208,-2340
-207,-2335
-206,-2330
-205,-2340
-204,-2345
-203,-2330
-202,-2320
-201,-2330
-200,-2315
-199,-2330
-198,-2320
-197,-2325
-196,-2310
-195,-2310
-194,-2330
-193,-2320
-192,-2325
-191,-2305
-190,-2305
-189,-2305
-188,-2305
-187,-2305
-186,-2290
-185,-2285
-184,-2285
-183,-2285
-182,-2285
-181,-2275
-180,-2270
-179,-2265
-178,-2275
-177,-2275
-176,-2275
-175,-2270
-174,-2270
-173,-2265
-172,-2260
-171,-2270
-170,-2260
-169,-2245
-168,-2245
-167,-2240
-166,-2235
-165,-2230
-164,-2235
-163,-2240
-162,-2230
-161,-2225
-160,-2210
-159,-2215
-158,-2215
-157,-2210
-156,-2205
-155,-2195
-154,-2195
-153,-2190
-152,-2195
-151,-2185
-150,-2180
-149,-2170
-148,-2170
-147,-2170
-146,-2175
-145,-2150
-144,-2155
-143,-2135
-142,-2145
-141,-2140
-140,-2130
-139,-2135
-138,-2135
-137,-2115
-136,-2125
-135,-2115
-134,-2100
-133,-2100
-132,-2095
-131,-2090
-130,-2080
-129,-2085
-128,-2080
-127,-2085
-126,-2055
-125,-2055
-124,-2050
-123,-2035
-122,-2045
-121,-2050
-120,-2010
-119,-2020
-118,-2015
-117,-2000
-116,-1995
-115,-1975
-114,-1975
-113,-1965
-112,-1965
-111,-1955
-110,-1940
-109,-1940
-108,-1935
-107,-1920
-106,-1915
-105,-1905
-104,-1900
-103,-1880
-102,-1875
-101,-1885
-100,-1870
-99,-1845
-98,-1840
-97,-1845
-96,-1825
-95,-1800
-94,-1795
-93,-1780
-92,-1775
-91,-1760
-90,-1740
-89,-1730
-88,-1725
-87,-1710
-86,-1700
-85,-1690
-84,-1660
-83,-1650
-82,-1630
-81,-1620
-80,-1600
-79,-1595
-78,-1580
-77,-1555
-76,-1540
-75,-1510
-74,-1490
-73,-1475
-72,-1450
-71,-1430
-70,-1410
-69,-1400
-68,-1365
-67,-1350
-66,-1330
-65,-1315
-64,-1290
-63,-1270
-62,-1235
-61,-1195
-60,-1170
-59,-1145
-58,-1115
-57,-1070
-56,-1040
-55,-990
-54,-940
-53,-875
-52,-800
-51,-690
-50,-540
-49,-355
-48,-85
-47,0
-46,0
-45,0
-44,0
-43,0
-42,0
-41,0
-40,0
-39,0
-38,0
-37,0
-36,0
-35,0
-34,0
-33,0
-32,0
-31,0
-30,0
-29,0
-28,0
-27,0
-26,0
-25,0
-24,0
-23,0
-22,0
-21,0
-20,0
-19,0
-18,0
-17,0
-16,0
-15,0
-14,0
-13,0
-12,0
-11,0
-10,0
-9,0
-8,0
-7,0
-6,0
-5,0
-4,0
-3,0
-2,0
-1,0
0,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,10
48,235
49,450
50,600
51,715
52,810
53,885
54,935
55,985
56,1030
57,1070
58,1115
59,1140
60,1175
61,1205
62,1235
63,1265
64,1290
65,1315
66,1325
67,1350
68,1370
69,1380
70,1405
71,1415
72,1440
73,1455
74,1485
75,1505
76,1530
77,1535
78,1555
79,1580
80,1595
81,1610
82,1630
83,1645
84,1655
85,1665
86,1670
87,1695
88,1705
89,1720
90,1720
91,1740
92,1760
93,1775
94,1785
95,1795
96,1800
97,1815
98,1825
99,1850
100,1850
101,1850
102,1870
103,1880
104,1890
105,1900
106,1910
107,1920
108,1920
109,1930
110.01,1950
111.01,1955
112.01,1955
113.01,1965
114.01,1975
115.01,1990
116.01,1990
117.01,2005
118.01,2015
119.01,2010
120.01,2025
121.01,2040
122.01,2045
123.01,2050
124.01,2050
125.01,2070
126.01,2065
127.01,2085
128.01,2075
129.01,2090
130.01,2085
131.01,2090
132.01,2110
133.01,2105
134.01,2110
135.01,2125
136,2115
137,2130
138,2130
139,2145
140,2140
141,2150
142,2155
143,2165
144,2160
145,2160
146,2170
147,2170
148,2175
149,2180
150,2180
151,2185
152,2195
153,2190
153.99,2200
154.99,2195
155.99,2215
156.99,2210
157.99,2205
158.99,2230
159.99,2230
160.99,2225
161.99,2235
162.99,2240
163.99,2250
164.99,2245
165.99,2255
166.99,2250
167.99,2255
168.99,2250
